RunId,Success,Duration,TotalTrucks,TotalParcels,MinInterarrival,MaxBeltLoad,MaxStationLoad,AvgProcessingTime,StationLoadStdDev
440,1,28800,56,5653,4,231,50,5.04,119.44
441,0,9275,14,1349,7,300,50,4.99,39.65
442,0,19255,41,4252,1,300,50,5.00,94.75
443,0,26426,47,4914,8,300,50,5.00,95.11
444,1,28800,69,6811,4,223,50,5.00,92.47
445,1,28800,66,6766,1,234,50,5.03,137.36
446,1,28800,76,7696,4,225,50,5.01,126.16
447,1,28800,59,5871,3,218,50,5.02,110.86
448,1,28800,59,6271,7,199,50,4.96,118.64
449,0,268,5,469,12,300,50,5.01,18.84
450,1,28800,56,5491,12,252,50,5.03,95.34
451,1,28800,57,5475,14,248,50,4.99,116.89
452,1,28800,59,5849,4,181,50,5.03,113.67
453,1,28800,64,6094,3,246,50,5.00,136.43
454,1,28800,56,5642,4,276,50,4.98,95.96
455,0,28112,62,6212,1,300,50,4.98,151.73
456,1,28800,76,7899,9,278,50,4.98,192.85
457,0,15331,44,4630,6,300,50,5.01,140.71
458,1,28800,66,6686,5,208,50,4.98,159.64
459,0,11623,23,2347,13,300,50,5.02,67.08
460,1,28800,64,6261,5,222,50,4.99,133.82
461,1,28800,66,6884,12,271,50,5.02,126.24
462,1,28800,65,6285,4,216,50,4.99,92.18
463,1,28800,50,4921,17,164,50,4.97,129.37
464,0,28120,53,5100,9,300,50,5.01,108.45
465,1,28800,63,6282,22,244,50,4.99,115.99
466,1,28800,65,6448,9,248,50,5.00,145.58
467,0,2995,11,1030,31,300,50,4.97,41.97
468,0,16952,35,3468,11,300,50,4.99,81.76
469,1,28800,75,7080,10,257,50,5.03,103.21
470,1,28800,69,6967,3,255,50,5.00,147.73
471,0,9124,18,2022,16,300,50,4.99,64.62
472,1,28800,68,6788,1,209,50,5.01,146.95
473,1,28800,53,5249,3,249,50,5.04,105.36
474,1,28800,65,6342,2,237,50,5.00,99.19
475,1,28800,85,8341,4,285,50,4.97,136.75
476,1,28800,62,6301,23,169,50,4.99,143.58
477,1,28800,62,6108,8,175,50,5.00,127.60
478,0,2072,8,768,28,300,50,5.07,38.19
479,1,28800,64,6204,5,249,50,5.00,120.66
480,0,17925,53,5097,18,300,50,4.93,99.97
481,1,28800,63,6023,2,210,50,5.01,138.21
482,1,28800,62,6137,10,229,50,5.02,102.65
483,1,28800,56,5870,1,263,50,5.01,110.44
484,1,28800,61,6323,4,208,50,4.98,135.15
485,0,21020,49,4968,6,300,50,5.02,87.52
486,1,28800,68,6645,12,229,50,4.99,86.66
487,0,17660,47,4994,3,300,50,5.00,131.34
488,1,28800,52,5180,10,297,50,4.99,136.25
489,1,28800,61,5982,5,178,50,5.03,116.87
490,1,28800,52,5393,26,184,50,5.03,121.94
491,1,28800,55,5542,9,295,50,5.00,94.13
492,1,28800,63,6456,11,265,50,4.96,102.45
493,1,28800,69,6948,3,196,50,5.02,119.98
494,1,28800,67,6617,7,238,50,4.99,135.35
495,1,28800,67,6593,10,202,50,5.02,134.07
496,1,28800,79,7917,3,288,50,5.00,142.53
497,1,28800,73,7282,6,230,50,4.99,127.14
498,1,28800,76,7282,11,296,50,5.02,150.37
499,0,6684,14,1396,13,300,50,4.96,54.62
500,1,28800,64,6208,2,202,50,5.01,119.82
501,1,28800,64,6696,4,238,50,4.99,122.67
502,1,28800,76,8279,7,292,50,5.01,131.70
503,0,9602,24,2536,16,300,50,4.96,89.88
504,1,28800,61,5657,4,145,50,4.97,111.47
505,1,28800,58,6128,3,262,50,5.03,131.29
506,1,28800,54,5324,8,280,50,4.97,93.12
507,1,28800,77,7735,10,241,50,5.01,137.70
508,0,3696,11,1014,6,300,50,5.04,42.44
509,1,28800,63,6430,6,271,50,4.98,125.28
510,0,11993,32,2874,6,300,50,4.99,89.27
511,1,28800,62,6175,1,242,50,5.01,130.63
512,0,1352,7,709,5,300,50,4.97,31.13
513,1,28800,64,6416,3,263,50,5.00,112.65
514,1,28800,74,7321,3,290,50,5.01,123.42
515,1,28800,63,6306,1,226,50,4.99,110.86
516,0,9583,27,2753,15,300,50,4.99,93.51
517,1,28800,77,7777,4,235,50,5.00,131.90
518,1,28800,65,6734,2,238,50,5.00,140.16
519,1,28800,58,5917,6,182,50,5.03,93.29
520,0,27583,64,6378,3,300,50,5.00,119.05
521,1,28800,64,6264,2,242,50,5.03,83.58
522,0,5383,15,1504,1,300,50,4.95,64.57
523,1,28800,73,7392,12,258,50,5.02,165.88
524,1,28800,62,6274,4,297,50,5.00,109.45
525,1,28800,68,6408,6,242,50,5.03,116.03
526,1,28800,47,4759,1,230,50,5.00,87.06
527,0,10484,23,2327,1,300,50,4.98,64.01
528,1,28800,62,5866,6,208,50,4.97,124.90
529,1,28800,67,6764,3,288,50,5.00,160.24
530,1,28800,60,5655,7,168,50,4.98,99.71
531,1,28800,56,5590,9,202,50,5.00,120.62
532,1,28800,66,6522,6,227,50,4.99,143.39
533,0,7774,21,1969,6,300,50,4.92,64.86
534,1,28800,68,7017,7,271,50,5.02,96.38
535,0,15179,38,3640,8,300,50,5.02,115.35
536,0,13389,18,1532,6,300,50,5.05,44.25
537,0,27683,54,5624,4,300,50,5.03,157.26
538,1,28800,52,5447,3,244,50,5.00,136.50
539,0,3101,6,629,9,300,50,5.24,28.33
540,1,28800,51,4797,2,241,50,4.99,102.39
541,1,28800,52,4997,31,148,50,5.01,117.68
542,1,28800,70,6931,24,166,50,5.00,162.60
543,1,28800,64,6407,2,216,50,5.01,103.21
544,1,28800,84,8496,7,296,50,5.01,130.46
545,1,28800,48,4991,1,186,50,4.98,98.06
546,0,4089,8,800,16,300,50,5.00,31.96
547,1,28800,77,7738,2,245,50,4.99,117.46
548,0,5083,19,1886,36,300,50,5.02,61.67
549,0,13125,32,3449,18,300,50,5.02,87.67
550,1,28800,54,5259,13,252,50,5.01,130.38
551,1,28800,70,7077,3,163,50,4.99,134.00
552,0,20565,55,5423,3,300,50,4.99,150.82
553,1,28800,57,5928,4,297,50,5.01,139.09
554,0,4423,18,1827,17,300,50,4.98,63.61
555,1,28800,51,5016,13,203,50,5.06,101.01
556,0,10289,20,2162,17,300,50,5.02,61.61
557,1,28800,59,6177,25,230,50,4.98,158.64
558,1,28800,71,7004,1,286,50,5.03,151.05
559,1,28800,56,5410,9,194,50,5.05,117.28
560,1,28800,78,7281,15,190,50,4.98,130.61
561,0,23803,53,5640,16,300,50,5.02,112.87
562,0,5486,18,1852,15,300,50,4.94,43.40
563,1,28800,50,5144,15,186,50,4.97,118.69
564,0,19832,46,4665,10,300,50,5.02,130.07
565,0,19720,55,5870,15,300,50,5.00,100.35
566,0,23441,60,6081,7,300,50,4.97,102.68
567,0,1388,11,1087,5,300,50,5.09,43.59
568,0,16245,39,3802,3,300,50,4.97,79.91
569,1,28800,58,5836,13,169,50,5.01,99.88
570,0,20509,53,5080,8,300,50,4.99,120.81
571,1,28800,62,6067,2,209,50,5.05,108.72
572,1,28800,58,5981,2,206,50,5.01,139.25
573,0,8944,27,2708,10,300,50,4.93,73.48
574,0,19076,43,4384,9,300,50,5.01,76.24
575,0,3053,10,1122,39,300,50,5.11,49.30
576,1,28800,67,6590,8,165,50,5.03,149.45
577,0,8022,15,1668,1,300,50,5.02,59.45
578,1,28800,70,6897,3,251,50,5.00,136.01
579,1,28800,59,5702,5,223,50,4.99,106.04
580,1,28800,53,5192,13,146,50,5.01,108.44
581,1,28800,64,6555,1,266,50,5.03,113.70
582,0,26316,75,7827,1,300,50,4.97,140.92
583,1,28800,65,6433,1,230,50,5.01,147.12
584,1,28800,72,6852,16,249,50,5.01,126.03
585,1,28800,62,6161,7,203,50,5.02,167.62
